,Sequencen,True next word,Predicted word,Predictions,Correct
515,english call the “ private gentleman ” the scientific process,could,could,[0.12922122],True
516,up the danubian provinces which are now roumania and serbia,part,part,[0.23043913],True
517,to speed of forty four miles per hour from onward,railways,railways,[0.9893328],True
518,and much more serious one russian poland republican government held,out,out,[0.77324325],True
519,york the first steamship to put to sea american the,phœnix,phœnix,[0.9869819],True
520,that had hitherto been workable under one administration the full,significance,significance,[0.88734514],True
522,about matter and motion much mathematical advance systematic development of,the,the,[0.9356673],True
523,after the russian disaster napoleon travelled from near vilna to,paris,paris,[0.24827476],True
524,less than forty eight hours that is to say they,reduced,reduced,[0.6775269],True
525,inventions machinery on new scale and new abundance appeared to,revolutionize,revolutionize,[0.8036319],True
526,miles he travelling with every conceivable advantage and he averaged,under,under,[0.8117683],True
527,of the most popular songs germany during this period declared,that,that,[0.5109871],True
528,of navarino and the tsar invaded turkey by the treaty,of,of,[0.9995993],True
529,blood had still to run however before the turk altogether,expelled,expelled,[0.8753189],True
531,and could not have been renewed europe the universities played,part,part,[0.97909355],True
532,its dutch association the kingdom of the netherlands the powers,terrified,terrified,[0.48971304],True
533,serious one russian poland republican government held out warsaw for,year,year,[0.67132914],True
535,results political life nor it affecting popular thought very profoundly,during,during,[0.4773989],True
536,the most popular songs germany during this period declared that,wherever,wherever,[0.6179203],True
537,otto of bavaria and christian governors were set up the,danubian,danubian,[0.98891056],True
538,of the jugo slav region much blood had still to,run,run,[0.1694621],True
539,germany during this period declared that wherever the german tongue,spoken,spoken,[0.68672496],True
540,these reactions were to come later and only their full,force,force,[0.6214507],True
542,and scientific thought of this period endowed learning is apt,to,to,[0.98790216],True
543,throughout the seventeenth and eighteenth centuries and the opening years,of,of,[0.8886299],True
544,endowed learning is apt to be timid and conservative learning,lacking,lacking,[0.99254405],True
546,good between rome and gaul the first century then suddenly,came,came,[0.21978489],True
548,german tongue spoken there the german fatherland portrait of napoleon,coronation,coronation,[0.99972445],True
549,going on europe and the patchwork of the treaty of,westphalia,westphalia,[0.98022276],True
550,speaking belgium stirred up by the current revolution france revolted,against,against,[0.8963344],True
552,it any wonder that one of the most popular songs,germany,germany,[0.65928525],True
553,of this period endowed learning is apt to be timid,and,and,[0.5496898],True
555,travel as held good between rome and gaul the first,century,century,[0.4796745],True
557,ancient republican traditions german king found for greece one prince,otto,otto,[0.98559326],True
559,popular thought very profoundly during this period these reactions were,to,to,[0.8262942],True
561,between stockton and darlington opened and stephenson ’ s “,rocket,rocket,[0.98395514],True
562,without what the english call the “ private gentleman ”,the,the,[0.28075165],True
563,netherlands the powers terrified at the possibilities of republic or,of,of,[0.5703553],True
565,and only their full force the latter half of the,nineteenth,nineteenth,[0.83362746],True
567,navarino and the tsar invaded turkey by the treaty of,adrianople,adrianople,[0.97022575],True
569,republican government held out warsaw for year against nicholas who,succeeded,succeeded,[0.9503348],True
571,tongue spoken there the german fatherland portrait of napoleon coronation,portrait,portrait,[0.7364404],True
572,had hitherto been workable under one administration the full significance,of,of,[0.7404874],True
573,first days of the railway early rolling stock on the,liverpool,liverpool,[0.9698249],True
575,europe still remains to be realized europe is still netted,boundaries,boundaries,[0.9324507],True
576,one prince otto of bavaria and christian governors were set,up,up,[0.9786332],True
577,early rolling stock on the liverpool and manchester railway the,first,first,[0.8238141],True
578,any wonder that one of the most popular songs germany,during,during,[0.9074301],True
579,traveller to less than forty eight hours that is to,say,say,[0.72867507],True
580,there insurrection of the greeks against the turks for six,years,years,[0.24896039],True
581,the continent it meant unity sustained on scale that would,otherwise,otherwise,[0.26864627],True
582,of forty four miles per hour from onward railways multiplied,by,by,[0.6192109],True
584,it process that went on chiefly small world of prosperous,and,and,[0.6379623],True
585,great as any that had hitherto been workable under one,administration,administration,[0.9956513],True
586,up of men ’ ideas about the world which they,lived,lived,[0.35676053],True
587,held out warsaw for year against nicholas who succeeded alexander,and,and,[0.9493767],True
588,up to speed of forty four miles per hour from,onward,onward,[0.8320386],True
589,of adrianople greece declared free but she not permitted to,resume,resume,[0.5224398],True
590,greece declared free but she not permitted to resume her,ancient,ancient,[0.6886745],True
592,“ rocket ” with thirteen ton train got up to,speed,speed,[0.07469793],True
593,the use of optical glass microscope and telescope renewed energy,classificatory,classificatory,[0.9963643],True
594,multiplied by the middle of the century network of railways,had,had,[0.72434276],True
595,access to washington however far the frontier travelled across the,continent,continent,[0.44110817],True
599,begun greece and could not have been renewed europe the,universities,universities,[0.8310384],True
600,disconnected from political life and producing throughout the seventeenth and,eighteenth,eighteenth,[0.96005225],True
601,the russian disaster napoleon travelled from near vilna to paris,hours,hours,[0.582641],True
603,into the patchwork of the treaty of vienna and while,the,the,[0.8201561],True
604,the scientific process could not have begun greece and could,not,not,[0.6952693],True
606,got up to speed of forty four miles per hour,from,from,[0.28747427],True
607,and road era america the effects were immediate to the,united,united,[0.8627676],True
609,terrified at the possibilities of republic or of annexation to,france,france,[0.9302745],True
610,revolted against its dutch association the kingdom of the netherlands,the,the,[0.46292156],True
611,lands lvii the development of material knowledge throughout the seventeenth,and,and,[0.6600337],True
612,microscope and telescope renewed energy classificatory natural history great revival,of,of,[0.9834241],True
613,middle of the century network of railways had spread all,over,over,[0.66525257],True
614,vinci —began its great task of interpreting the record of,the,the,[0.9950387],True
615,destroyed by the french and english at the battle of,navarino,navarino,[0.9119108],True
616,minds we have already noted the formation of the royal,society,society,[0.53286225],True
617,the nineteenth century while these conflicts of the powers and,princes,princes,[0.74742126],True
618,while the governments of europe looked on liberal opinion protested,against,against,[0.7623694],True
619,great task of interpreting the record of the rocks early,rolling,rolling,[0.9099296],True
620,the battle of navarino and the tsar invaded turkey by,the,the,[0.96653306],True
621,had steamer the clermont with british built engines upon the,hudson,hudson,[0.980165],True
622,about the same maximum rates of travel as held good,between,between,[0.8389549],True
623,railway between stockton and darlington opened and stephenson ’ s,“,“,[0.65527076],True
624,classificatory natural history great revival of anatomical science the science,of,of,[0.99532205],True
625,manchester railway early travelling on the liverpool and manchester railway,here,here,[0.18402535],True
626,up of general ideas about matter and motion much mathematical,advance,advance,[0.44061425],True
627,still remains to be realized europe is still netted boundaries,drawn,drawn,[0.7236012],True
628,during this period declared that wherever the german tongue spoken,there,there,[0.6426387],True
629,thought of this period endowed learning is apt to be,timid,timid,[0.28347775],True
631,telescope renewed energy classificatory natural history great revival of anatomical,science,science,[0.9641297],True
632,and gave the belgians monarch leopold of saxe coburg gotha,there,there,[0.99598795],True
633,republican traditions german king found for greece one prince otto,of,of,[0.8939126],True
634,had long been fixed condition of human life the maximum,rate,rate,[0.967196],True
635,roumania and serbia part of the jugo slav region much,blood,blood,[0.9362727],True
636,but she not permitted to resume her ancient republican traditions,german,german,[0.7293131],True
637,and gaul the first century then suddenly came this tremendous,change,change,[0.35407498],True
638,from print the british museum french speaking belgium stirred up,by,by,[0.4662335],True
642,upon the hudson river above new york the first steamship,to,to,[0.75612867],True
645,have begun greece and could not have been renewed europe,the,the,[0.11707739],True
646,is apt to be timid and conservative learning lacking initiative,and,and,[0.96532106],True
648,energy classificatory natural history great revival of anatomical science the,science,science,[0.9305403],True
650,upon metallurgy improved metallurgy affording the possibility of larger and,bolder,bolder,[0.92211914],True
651,and manchester railway early travelling on the liverpool and manchester,railway,railway,[0.9233015],True
653,glass microscope and telescope renewed energy classificatory natural history great,revival,revival,[0.9240912],True
654,and the patchwork of the treaty of westphalia changing kaleidoscopically,into,into,[0.9366104],True
655,learning lacking initiative and resistent to innovation unless it has,the,the,[0.5677045],True
656,this period endowed learning is apt to be timid and,conservative,conservative,[0.999405],True
657,other materials reacted upon practical inventions machinery on new scale,and,and,[0.32959682],True
658,united states of america sprawling westward it meant the possibility,of,of,[0.9679271],True
659,interpreting the record of the rocks early rolling stock on,the,the,[0.98164994],True
662,eighteenth centuries no striking immediate results political life nor it,affecting,affecting,[0.59026164],True
663,of clyde canal and american named fulton had steamer the,clermont,clermont,[0.9923252],True
664,the sailing ship spreading european influence throughout the world steady,growth,growth,[0.64213705],True
665,of vienna and while the sailing ship spreading european influence,throughout,throughout,[0.6003572],True
666,permitted to resume her ancient republican traditions german king found,for,for,[0.7407155],True
667,the patchwork of the treaty of westphalia changing kaleidoscopically into,the,the,[0.13942966],True
668,under one administration the full significance of that possibility europe,still,still,[0.36399648],True
669,engine its earlier phases there steamboat the charlotte dundas on,the,the,[0.9254809],True
670,river above new york the first steamship to put to,sea,sea,[0.66343606],True
671,striking immediate results political life nor it affecting popular thought,very,very,[0.48417908],True
675,initiative and resistent to innovation unless it has the spur,of,of,[0.98683304],True
676,on the firth of clyde canal and american named fulton,had,had,[0.9755122],True
677,russian disaster napoleon travelled from near vilna to paris hours,this,this,[0.4848463],True
682,mathematical advance systematic development of the use of optical glass,microscope,microscope,[0.9987501],True
683,new york the first steamship to put to sea american,the,the,[0.65502185],True
684,russian poland republican government held out warsaw for year against,nicholas,nicholas,[0.9989503],True
685,of existence with great violence and cruelty the polish language,banned,banned,[0.9787611],True
686,american the phœnix which went from new york hoboken to,philadelphia,philadelphia,[0.89261174],True
688,anything little ahead of the steam engine its earlier phases,there,there,[0.4846225],True
689,fleet destroyed by the french and english at the battle,of,of,[0.9807514],True
690,speed of forty four miles per hour from onward railways,multiplied,multiplied,[0.96484363],True
691,and english at the battle of navarino and the tsar,invaded,invaded,[0.970014],True
692,this period these reactions were to come later and only,their,their,[0.47669405],True
693,spread all over europe early travelling on the liverpool and,manchester,manchester,[0.9758006],True
694,change what had long been fixed condition of human life,the,the,[0.16538276],True
695,latter half of the nineteenth century it process that went,on,on,[0.6443596],True
696,liverpool and manchester railway the first days of the railway,the,the,[0.22459848],True
699,they lived progress the european and europeanized world it went,on,on,[0.8762979],True
700,metallurgy improved metallurgy affording the possibility of larger and bolder,handling,handling,[0.6601163],True
701,materials reacted upon practical inventions machinery on new scale and,new,new,[0.9340027],True
703,wonder that one of the most popular songs germany during,this,this,[0.37229106],True
705,of bacon ’ s new atlantis throughout the eighteenth century,there,there,[0.5710674],True
706,its work realizing the dream of bacon ’ s new,atlantis,atlantis,[0.9976592],True
709,were going on europe and the patchwork of the treaty,of,of,[0.9414558],True
710,of the use of optical glass microscope and telescope renewed,energy,energy,[0.5299334],True
711,turkey by the treaty of adrianople greece declared free but,she,she,[0.8696553],True
714,a the steamboat clermont a the steamboat if anything little,ahead,ahead,[0.95879984],True
715,only their full force the latter half of the nineteenth,century,century,[0.99826413],True
716,this inactivity volunteers from every european country joined the insurgents,and,and,[0.99470264],True
717,scientific process could not have begun greece and could not,have,have,[0.6905676],True
719,industry trevithick adapted the watt engine to transport and made,the,the,[0.15933388],True
720,of annexation to france hurried to pacify this situation and,gave,gave,[0.19824435],True
721,part the philosophical and scientific thought of this period endowed,learning,learning,[0.94220984],True
722,the same maximum rates of travel as held good between,rome,rome,[0.3010901],True
723,fixed condition of human life the maximum rate of land,transport,transport,[0.99553984],True
726,progress of physical science reacted upon metallurgy improved metallurgy affording,the,the,[0.99538654],True
727,went on chiefly small world of prosperous and independent spirited,people,people,[0.93357444],True
728,desperate while the governments of europe looked on liberal opinion,protested,protested,[0.9751431],True
730,transport and made the first locomotive the first railway between,stockton,stockton,[0.52469856],True
731,rome and gaul the first century then suddenly came this,tremendous,tremendous,[0.8795582],True
733,this journey for any ordinary traveller to less than forty,eight,eight,[0.33139202],True
735,french and english at the battle of navarino and the,tsar,tsar,[0.5622108],True
736,as any that had hitherto been workable under one administration,the,the,[0.94518876],True
737,nor it affecting popular thought very profoundly during this period,these,these,[0.21031024],True
739,the treaty of adrianople greece declared free but she not,permitted,permitted,[0.9361364],True
742,the netherlands the powers terrified at the possibilities of republic,or,or,[0.606061],True
743,volunteers from every european country joined the insurgents and at,last,last,[0.9638395],True
744,it possible to carry out administrative work areas ten times,as,as,[0.9134064],True
745,this situation and gave the belgians monarch leopold of saxe,coburg,coburg,[0.9999225],True
746,suddenly came this tremendous change the railways reduced this journey,for,for,[0.6717812],True
747,on europe and the patchwork of the treaty of westphalia,changing,changing,[0.92854494],True
748,dutch association the kingdom of the netherlands the powers terrified,at,at,[0.33978894],True
749,and new abundance appeared to revolutionize industry trevithick adapted the,watt,watt,[0.9966323],True
750,the railway early rolling stock on the liverpool and manchester,railway,railway,[0.61437666],True
751,the possibilities of republic or of annexation to france hurried,to,to,[0.8163014],True
752,gotha there were ineffectual revolts italy and germany and much,more,more,[0.9784373],True
755,motion much mathematical advance systematic development of the use of,optical,optical,[0.5794909],True
759,unless it has the spur of contact with independent minds,we,we,[0.85288984],True
760,the “ private gentleman ” the scientific process could not,have,have,[0.39416927],True
761,train got up to speed of forty four miles per,hour,hour,[0.3538963],True
762,of the nineteenth century while these conflicts of the powers,and,and,[0.5472952],True
763,of anatomical science the science of geology—foreshadowed by aristotle and,anticipated,anticipated,[0.9808549],True
764,averaged under miles hour ordinary traveller could not have done,this,this,[0.1600322],True
765,the first railway between stockton and darlington opened and stephenson,’,’,[0.9951615],True
766,prince otto of bavaria and christian governors were set up,the,the,[0.78391546],True
768,portrait of napoleon coronation portrait of napoleon coronation from print,the,the,[0.99915314],True
769,later and only their full force the latter half of,the,the,[0.90572995],True
770,and at last britain france and russia took joint action,the,the,[0.65797],True
774,of physical science reacted upon metallurgy improved metallurgy affording the,possibility,possibility,[0.88290906],True
775,one administration the full significance of that possibility europe still,remains,remains,[0.29615682],True
776,clyde canal and american named fulton had steamer the clermont,with,with,[0.962391],True
777,were set up the danubian provinces which are now roumania,and,and,[0.8756775],True
778,stock on the liverpool and manchester railway the first days,of,of,[0.9403225],True
779,is it any wonder that one of the most popular,songs,songs,[0.99109215],True
780,greek orthodox church substituted for the roman catholic as the,state,state,[0.42314753],True
781,natural history great revival of anatomical science the science of,geology—foreshadowed,geology—foreshadowed,[0.9889159],True
782,aristotle and anticipated by leonardo vinci —began its great task,of,of,[0.9161572],True
783,by aristotle and anticipated by leonardo vinci —began its great,task,task,[0.95797855],True
784,the phœnix which went from new york hoboken to philadelphia,too,too,[0.24188942],True
785,european and europeanized world it went on disconnected from political,life,life,[0.60062814],True
786,church substituted for the roman catholic as the state religion,map,map,[0.90135103],True
788,not have begun greece and could not have been renewed,europe,europe,[0.45598915],True
790,and eighteenth centuries and the opening years of the nineteenth,century,century,[0.9973742],True
792,centuries no striking immediate results political life nor it affecting,popular,popular,[0.0915888],True
793,phœnix which went from new york hoboken to philadelphia too,the,the,[0.99004936],True
794,the liverpool and manchester railway the first days of the,railway,railway,[0.73120725],True
795,all over europe early travelling on the liverpool and manchester,railway,railway,[0.65074795],True
797,new scale and new abundance appeared to revolutionize industry trevithick,adapted,adapted,[0.8352488],True
798,roman catholic as the state religion map europe after the,congress,congress,[0.60932773],True
799,coronation portrait of napoleon coronation from print the british museum,french,french,[0.3881317],True
800,from near vilna to paris hours this journey of about,miles,miles,[0.54482853],True
801,manchester railway the first days of the railway early rolling,stock,stock,[0.70562065],True
803,four miles per hour from onward railways multiplied by the,middle,middle,[0.10353361],True
805,the development of material knowledge throughout the seventeenth and eighteenth,centuries,centuries,[0.715152],True
807,the french and english at the battle of navarino and,the,the,[0.967213],True
808,the railway the progress of physical science reacted upon metallurgy,improved,improved,[0.7654747],True
809,renewed energy classificatory natural history great revival of anatomical science,the,the,[0.32342046],True
810,steamboat the charlotte dundas on the firth of clyde canal,and,and,[0.8863147],True
811,distance twice the time these were about the same maximum,rates,rates,[0.9859553],True
812,it affecting popular thought very profoundly during this period these,reactions,reactions,[0.9884596],True
814,speech is it any wonder that one of the most,popular,popular,[0.48733062],True
815,that one of the most popular songs germany during this,period,period,[0.82906115],True
816,westphalia changing kaleidoscopically into the patchwork of the treaty of,vienna,vienna,[0.9704058],True
817,the english call the “ private gentleman ” the scientific,process,process,[0.7427805],True
818,the first locomotive the first railway between stockton and darlington,opened,opened,[0.941262],True
819,learning is apt to be timid and conservative learning lacking,initiative,initiative,[0.9919748],True
820,ideas about matter and motion much mathematical advance systematic development,of,of,[0.96136075],True
821,world it went on disconnected from political life and producing,throughout,throughout,[0.8513965],True
822,people without what the english call the “ private gentleman,”,”,[0.9718765],True
823,and conservative learning lacking initiative and resistent to innovation unless,it,it,[0.4450407],True
824,of vienna there insurrection of the greeks against the turks,for,for,[0.36962566],True
825,century there much clearing up of general ideas about matter,and,and,[0.8687847],True
826,stirred up by the current revolution france revolted against its,dutch,dutch,[0.86142725],True
827,of geology—foreshadowed by aristotle and anticipated by leonardo vinci —began,its,its,[0.97164625],True
828,throughout the seventeenth and eighteenth centuries no striking immediate results,political,political,[0.7789422],True
829,railway the progress of physical science reacted upon metallurgy improved,metallurgy,metallurgy,[0.9969261],True
830,it went on disconnected from political life and producing throughout,the,the,[0.85367906],True
831,france revolted against its dutch association the kingdom of the,netherlands,netherlands,[0.52282435],True
832,vilna to paris hours this journey of about miles he,travelling,travelling,[0.83490235],True
833,metallurgy affording the possibility of larger and bolder handling of,masses,masses,[0.95125103],True
834,steady growth of knowledge and general clearing up of men,’,’,[0.65025365],True
835,advance systematic development of the use of optical glass microscope,and,and,[0.24931654],True
836,went from new york hoboken to philadelphia too the first,ship,ship,[0.9027435],True
837,songs germany during this period declared that wherever the german,tongue,tongue,[0.62566197],True
838,played part but not leading part the philosophical and scientific,thought,thought,[0.82687604],True
839,language banned and the greek orthodox church substituted for the,roman,roman,[0.94932544],True
840,ineffectual revolts italy and germany and much more serious one,russian,russian,[0.671798],True
841,transport after the russian disaster napoleon travelled from near vilna,to,to,[0.9965385],True
842,universities played part but not leading part the philosophical and,scientific,scientific,[0.4150015],True
843,the world which they lived progress the european and europeanized,world,world,[0.9597383],True
844,come later and only their full force the latter half,of,of,[0.79342216],True
845,significance of that possibility europe still remains to be realized,europe,europe,[0.8468705],True
846,times as great as any that had hitherto been workable,under,under,[0.8737821],True
847,and russia took joint action the turkish fleet destroyed by,the,the,[0.91031134],True
848,vienna there insurrection of the greeks against the turks for,six,six,[0.6978616],True
850,the seventeenth and eighteenth centuries and the opening years of,the,the,[0.08288596],True
851,innovation unless it has the spur of contact with independent,minds,minds,[0.82176864],True
852,revolutionize industry trevithick adapted the watt engine to transport and,made,made,[0.59763724],True
853,greece one prince otto of bavaria and christian governors were,set,set,[0.82486314],True
854,english at the battle of navarino and the tsar invaded,turkey,turkey,[0.9534977],True
855,clermont a the steamboat if anything little ahead of the,steam,steam,[0.35748205],True
856,association the kingdom of the netherlands the powers terrified at,the,the,[0.7677856],True
857,chief european distances to about tenth of what they had,been,been,[0.681057],True
858,conservative learning lacking initiative and resistent to innovation unless it,has,has,[0.66508657],True
859,set up the danubian provinces which are now roumania and,serbia,serbia,[0.9606225],True
860,machinery on new scale and new abundance appeared to revolutionize,industry,industry,[0.9974106],True
861,succeeded alexander and then stamped out of existence with great,violence,violence,[0.94921064],True
862,” with thirteen ton train got up to speed of,forty,forty,[0.53499913],True
863,and the opening years of the nineteenth century while these,conflicts,conflicts,[0.3380303],True
865,abundance appeared to revolutionize industry trevithick adapted the watt engine,to,to,[0.940297],True
866,otherwise have been impossible the steamboat clermont a the steamboat,clermont,clermont,[0.99977857],True
867,of the royal society and its work realizing the dream,of,of,[0.96589226],True
869,to revolutionize industry trevithick adapted the watt engine to transport,and,and,[0.8208966],True
870,apt to be timid and conservative learning lacking initiative and,resistent,resistent,[0.9968502],True
872,then suddenly came this tremendous change the railways reduced this,journey,journey,[0.2653738],True
873,had spread all over europe early travelling on the liverpool,and,and,[0.99537057],True
874,popular songs germany during this period declared that wherever the,german,german,[0.19518667],True
875,of the treaty of vienna and while the sailing ship,spreading,spreading,[0.3046332],True
878,cruelty the polish language banned and the greek orthodox church,substituted,substituted,[0.9966723],True
879,philosophical and scientific thought of this period endowed learning is,apt,apt,[0.98960555],True
880,improved metallurgy affording the possibility of larger and bolder handling,of,of,[0.90952903],True
881,travelling on the liverpool and manchester railway early travelling on,the,the,[0.8865869],True
882,before the turk altogether expelled from these lands lvii the,development,development,[0.9580199],True
884,country joined the insurgents and at last britain france and,russia,russia,[0.71023566],True
886,anatomical science the science of geology—foreshadowed by aristotle and anticipated,by,by,[0.94005597],True
888,of napoleon coronation portrait of napoleon coronation from print the,british,british,[0.85593385],True
889,of general ideas about matter and motion much mathematical advance,systematic,systematic,[0.44993824],True
890,catholic as the state religion map europe after the congress,of,of,[0.9942473],True
892,been they made it possible to carry out administrative work,areas,areas,[0.7688477],True
893,netted boundaries drawn the horse and road era america the,effects,effects,[0.9882125],True
894,long been fixed condition of human life the maximum rate,of,of,[0.6992001],True
895,workable under one administration the full significance of that possibility,europe,europe,[0.5172188],True
897,days of the railway early rolling stock on the liverpool,and,and,[0.95713085],True
898,on the liverpool and manchester railway the first days of,the,the,[0.96027917],True
899,sprawling westward it meant the possibility of continuous access to,washington,washington,[0.96934223],True
900,slav region much blood had still to run however before,the,the,[0.6461628],True
901,reduced the chief european distances to about tenth of what,they,they,[0.6307398],True
902,put to sea american the phœnix which went from new,york,york,[0.9807897],True
903,europe the universities played part but not leading part the,philosophical,philosophical,[0.9765246],True
904,have already noted the formation of the royal society and,its,its,[0.4670345],True
905,the hudson river above new york the first steamship to,put,put,[0.6221984],True
906,task of interpreting the record of the rocks early rolling,stock,stock,[0.8260561],True
907,free but she not permitted to resume her ancient republican,traditions,traditions,[0.5595697],True
908,spreading european influence throughout the world steady growth of knowledge,and,and,[0.9058379],True
909,the clermont with british built engines upon the hudson river,above,above,[0.885351],True
910,trevithick adapted the watt engine to transport and made the,first,first,[0.9700752],True
911,its earlier phases there steamboat the charlotte dundas on the,firth,firth,[0.9989524],True
912,manchester railway the first days of the railway the progress,of,of,[0.87680775],True
914,possibility of continuous access to washington however far the frontier,travelled,travelled,[0.33486837],True
915,human life the maximum rate of land transport after the,russian,russian,[0.7957909],True
916,of the treaty of westphalia changing kaleidoscopically into the patchwork,of,of,[0.97868997],True
917,very profoundly during this period these reactions were to come,later,later,[0.6559413],True
918,battle of navarino and the tsar invaded turkey by the,treaty,treaty,[0.995089],True
919,the science of geology—foreshadowed by aristotle and anticipated by leonardo,vinci,vinci,[0.9995871],True
921,the liverpool and manchester railway here sudden change what had,long,long,[0.6930667],True
922,bavaria and christian governors were set up the danubian provinces,which,which,[0.9875022],True
923,bolder handling of masses of metal and other materials reacted,upon,upon,[0.94530964],True
925,the firth of clyde canal and american named fulton had,steamer,steamer,[0.5098517],True
926,nicholas who succeeded alexander and then stamped out of existence,with,with,[0.95766497],True
929,leading part the philosophical and scientific thought of this period,endowed,endowed,[0.8845801],True
930,of the rocks early rolling stock on the liverpool and,manchester,manchester,[0.9999654],True
932,advantage and he averaged under miles hour ordinary traveller could,not,not,[0.8910017],True
933,seventeenth and eighteenth centuries and the opening years of the,nineteenth,nineteenth,[0.5566552],True
934,maximum rates of travel as held good between rome and,gaul,gaul,[0.8332103],True
935,masses of metal and other materials reacted upon practical inventions,machinery,machinery,[0.9964702],True
936,they had been they made it possible to carry out,administrative,administrative,[0.95762527],True
937,built engines upon the hudson river above new york the,first,first,[0.7678623],True
938,run however before the turk altogether expelled from these lands,lvii,lvii,[0.9940084],True
939,physical science reacted upon metallurgy improved metallurgy affording the possibility,of,of,[0.9998677],True
940,wherever the german tongue spoken there the german fatherland portrait,of,of,[0.9932406],True
941,noted the formation of the royal society and its work,realizing,realizing,[0.9997235],True
942,however before the turk altogether expelled from these lands lvii,the,the,[0.98547924],True
943,first days of the railway the progress of physical science,reacted,reacted,[0.24866156],True
944,revolts italy and germany and much more serious one russian,poland,poland,[0.9986206],True
945,work realizing the dream of bacon ’ s new atlantis,throughout,throughout,[0.97199774],True
946,europe early travelling on the liverpool and manchester railway early,travelling,travelling,[0.91080165],True
947,forty four miles per hour from onward railways multiplied by,the,the,[0.87976354],True
948,to sea american the phœnix which went from new york,hoboken,hoboken,[0.9975516],True
950,metal and other materials reacted upon practical inventions machinery on,new,new,[0.4888327],True
951,life the maximum rate of land transport after the russian,disaster,disaster,[0.79397684],True
952,steamboat clermont a the steamboat if anything little ahead of,the,the,[0.84149605],True
953,changing kaleidoscopically into the patchwork of the treaty of vienna,and,and,[0.9606978],True
954,lived progress the european and europeanized world it went on,disconnected,disconnected,[0.9978422],True
956,ordinary traveller could not have done this distance twice the,time,time,[0.5002725],True
959,for greece one prince otto of bavaria and christian governors,were,were,[0.7579376],True
960,formation of the royal society and its work realizing the,dream,dream,[0.43782675],True
961,the opening years of the nineteenth century while these conflicts,of,of,[0.934394],True
962,gave the belgians monarch leopold of saxe coburg gotha there,were,were,[0.97185725],True
965,current revolution france revolted against its dutch association the kingdom,of,of,[0.73231006],True
967,the turks for six years they fought desperate while the,governments,governments,[0.399895],True
968,’ s new atlantis throughout the eighteenth century there much,clearing,clearing,[0.64521676],True
969,than forty eight hours that is to say they reduced,the,the,[0.5528653],True
970,on the liverpool and manchester railway early travelling on the,liverpool,liverpool,[0.8433342],True
972,that possibility europe still remains to be realized europe is,still,still,[0.9474713],True
973,stockton and darlington opened and stephenson ’ s “ rocket,”,”,[0.97504234],True
974,gaul the first century then suddenly came this tremendous change,the,the,[0.45233354],True
978,violence and cruelty the polish language banned and the greek,orthodox,orthodox,[0.94288445],True
979,the formation of the royal society and its work realizing,the,the,[0.9871072],True
980,and cruelty the polish language banned and the greek orthodox,church,church,[0.9758621],True
981,producing throughout the seventeenth and eighteenth centuries no striking immediate,results,results,[0.8645314],True
982,the first days of the railway the progress of physical,science,science,[0.8382431],True
984,affording the possibility of larger and bolder handling of masses,of,of,[0.99815935],True
985,earlier phases there steamboat the charlotte dundas on the firth,of,of,[0.99819857],True
986,at the battle of navarino and the tsar invaded turkey,by,by,[0.9299057],True
987,banned and the greek orthodox church substituted for the roman,catholic,catholic,[0.83960897],True
988,then stamped out of existence with great violence and cruelty,the,the,[0.7191378],True
989,drawn the horse and road era america the effects were,immediate,immediate,[0.30558798],True
